country_name,indicator_name,year,gdp,growth_rate,recession
Afghanistan,Annual GDP growth (percent change),2004,0.7,-91.95402298850574,True
Afghanistan,Annual GDP growth (percent change),2006,5.4,-54.23728813559322,True
Afghanistan,Annual GDP growth (percent change),2008,3.9,-70.67669172932331,True
Afghanistan,Annual GDP growth (percent change),2010,8.4,-59.22330097087378,True
Afghanistan,Annual GDP growth (percent change),2011,6.5,-22.619047619047628,True
Afghanistan,Annual GDP growth (percent change),2013,5.7,-59.285714285714285,True
Afghanistan,Annual GDP growth (percent change),2014,2.7,-52.63157894736842,True
Afghanistan,Annual GDP growth (percent change),2015,1.0,-62.96296296296296,True
Afghanistan,Annual GDP growth (percent change),2018,1.2,-53.846153846153854,True
Afghanistan,Annual GDP growth (percent change),2020,-2.4,-161.53846153846155,True
Albania,Annual GDP growth (percent change),1982,2.9,-49.12280701754387,True
Albania,Annual GDP growth (percent change),1983,1.1,-62.06896551724137,True
Albania,Annual GDP growth (percent change),1985,-1.5,-175.0,True
Albania,Annual GDP growth (percent change),1986,5.6,-473.33333333333326,True
Albania,Annual GDP growth (percent change),1987,-0.8,-114.28571428571428,True
Albania,Annual GDP growth (percent change),1989,9.8,-800.0,True
Albania,Annual GDP growth (percent change),1990,-10.0,-202.0408163265306,True
Albania,Annual GDP growth (percent change),1992,-7.2,-74.28571428571429,True
Albania,Annual GDP growth (percent change),1993,9.6,-233.33333333333331,True
Albania,Annual GDP growth (percent change),1994,9.4,-2.083333333333326,True
Albania,Annual GDP growth (percent change),1995,8.9,-5.319148936170215,True
Albania,Annual GDP growth (percent change),1997,-10.9,-219.7802197802198,True
Albania,Annual GDP growth (percent change),1998,8.8,-180.73394495412845,True
Albania,Annual GDP growth (percent change),2000,6.9,-46.51162790697674,True
Albania,Annual GDP growth (percent change),2002,4.5,-45.78313253012048,True
Albania,Annual GDP growth (percent change),2009,3.4,-54.666666666666664,True
Albania,Annual GDP growth (percent change),2011,2.5,-32.432432432432435,True
Albania,Annual GDP growth (percent change),2012,1.4,-44.00000000000001,True
Albania,Annual GDP growth (percent change),2013,1.0,-28.57142857142857,True
Albania,Annual GDP growth (percent change),2019,2.1,-47.5,True
Albania,Annual GDP growth (percent change),2020,-3.3,-257.1428571428571,True
Albania,Annual GDP growth (percent change),2021,8.9,-369.69696969696975,True
Albania,Annual GDP growth (percent change),2022,4.8,-46.06741573033708,True
Albania,Annual GDP growth (percent change),2023,3.6,-25.0,True
Albania,Annual GDP growth (percent change),2024,3.3,-8.333333333333337,True
Algeria,Annual GDP growth (percent change),1981,3.0,-155.55555555555554,True
Algeria,Annual GDP growth (percent change),1983,5.4,-15.625,True
Algeria,Annual GDP growth (percent change),1986,-0.2,-103.57142857142858,True
Algeria,Annual GDP growth (percent change),1989,4.8,-352.6315789473684,True
Algeria,Annual GDP growth (percent change),1990,0.8,-83.33333333333333,True
Algeria,Annual GDP growth (percent change),1991,-1.2,-250.0,True
Algeria,Annual GDP growth (percent change),1992,1.6,-233.33333333333334,True
Algeria,Annual GDP growth (percent change),1993,-2.1,-231.25,True
Algeria,Annual GDP growth (percent change),1994,-0.9,-57.14285714285714,True
Algeria,Annual GDP growth (percent change),1995,3.8,-522.2222222222223,True
Algeria,Annual GDP growth (percent change),1997,1.1,-71.05263157894737,True
Algeria,Annual GDP growth (percent change),1999,3.2,-37.2549019607843,True
Algeria,Annual GDP growth (percent change),2001,3.0,-21.052631578947366,True
Algeria,Annual GDP growth (percent change),2004,4.3,-40.27777777777778,True
Algeria,Annual GDP growth (percent change),2006,1.7,-71.18644067796612,True
Algeria,Annual GDP growth (percent change),2008,2.4,-29.411764705882348,True
Algeria,Annual GDP growth (percent change),2009,1.6,-33.33333333333333,True
Algeria,Annual GDP growth (percent change),2011,2.9,-19.444444444444454,True
Algeria,Annual GDP growth (percent change),2013,2.8,-17.647058823529417,True
Algeria,Annual GDP growth (percent change),2015,3.7,-2.631578947368407,True
Algeria,Annual GDP growth (percent change),2016,3.2,-13.513513513513509,True
Algeria,Annual GDP growth (percent change),2017,1.4,-56.25,True
Algeria,Annual GDP growth (percent change),2018,1.2,-14.28571428571428,True
Algeria,Annual GDP growth (percent change),2019,1.0,-16.666666666666664,True
Algeria,Annual GDP growth (percent change),2020,-5.1,-610.0,True
Algeria,Annual GDP growth (percent change),2021,3.4,-166.66666666666669,True
Algeria,Annual GDP growth (percent change),2022,3.2,-5.88235294117646,True
Algeria,Annual GDP growth (percent change),2024,3.1,-18.421052631578938,True
Andorra,Annual GDP growth (percent change),2002,4.5,-44.44444444444444,True
Andorra,Annual GDP growth (percent change),2004,8.1,-6.896551724137923,True
Andorra,Annual GDP growth (percent change),2005,5.4,-33.33333333333333,True
Andorra,Annual GDP growth (percent change),2006,4.8,-11.111111111111116,True
Andorra,Annual GDP growth (percent change),2007,1.6,-66.66666666666666,True
Andorra,Annual GDP growth (percent change),2008,-5.6,-450.0,True
Andorra,Annual GDP growth (percent change),2009,-5.3,-5.357142857142849,True
Andorra,Annual GDP growth (percent change),2010,-2.0,-62.264150943396224,True
Andorra,Annual GDP growth (percent change),2011,0.0,-100.0,True
Andorra,Annual GDP growth (percent change),2012,-5.0,-inf,True
Andorra,Annual GDP growth (percent change),2013,-3.5,-30.000000000000004,True
Andorra,Annual GDP growth (percent change),2014,2.5,-171.42857142857144,True
Andorra,Annual GDP growth (percent change),2015,1.4,-44.00000000000001,True
Andorra,Annual GDP growth (percent change),2017,0.3,-91.8918918918919,True
Andorra,Annual GDP growth (percent change),2020,-11.2,-660.0,True
Andorra,Annual GDP growth (percent change),2021,8.3,-174.1071428571429,True
Andorra,Annual GDP growth (percent change),2023,2.1,-76.13636363636364,True
Andorra,Annual GDP growth (percent change),2024,1.5,-28.57142857142857,True
Angola,Annual GDP growth (percent change),1981,-4.4,-283.33333333333337,True
Angola,Annual GDP growth (percent change),1982,0.0,-100.0,True
Angola,Annual GDP growth (percent change),1985,3.5,-41.666666666666664,True
Angola,Annual GDP growth (percent change),1986,2.9,-17.14285714285715,True
Angola,Annual GDP growth (percent change),1989,0.0,-100.0,True
Angola,Annual GDP growth (percent change),1990,-3.5,-inf,True
Angola,Annual GDP growth (percent change),1991,12.1,-445.7142857142857,True
Angola,Annual GDP growth (percent change),1992,11.4,-5.785123966942141,True
Angola,Annual GDP growth (percent change),1993,11.0,-3.508771929824561,True
Angola,Annual GDP growth (percent change),1994,10.5,-4.545454545454541,True
Angola,Annual GDP growth (percent change),1995,10.4,-0.952380952380949,True
Angola,Annual GDP growth (percent change),1997,7.3,-34.82142857142857,True
Angola,Annual GDP growth (percent change),1998,4.7,-35.61643835616438,True
Angola,Annual GDP growth (percent change),1999,2.2,-53.191489361702125,True
Angola,Annual GDP growth (percent change),2003,3.0,-78.1021897810219,True
Angola,Annual GDP growth (percent change),2006,11.5,-23.33333333333333,True
Angola,Annual GDP growth (percent change),2008,11.2,-20.000000000000007,True
Angola,Annual GDP growth (percent change),2009,0.9,-91.96428571428571,True
Angola,Annual GDP growth (percent change),2011,3.5,-28.57142857142858,True
Angola,Annual GDP growth (percent change),2013,5.0,-41.17647058823529,True
Angola,Annual GDP growth (percent change),2014,4.8,-4.0000000000000036,True
Angola,Annual GDP growth (percent change),2015,0.9,-81.25,True
Angola,Annual GDP growth (percent change),2016,-2.6,-388.88888888888886,True
Angola,Annual GDP growth (percent change),2017,-0.2,-92.3076923076923,True
Angola,Annual GDP growth (percent change),2019,-0.7,-46.15384615384615,True
Angola,Annual GDP growth (percent change),2021,1.2,-121.42857142857144,True
Angola,Annual GDP growth (percent change),2023,1.3,-56.666666666666664,True
Antigua and Barbuda,Annual GDP growth (percent change),1981,3.8,-53.65853658536586,True
Antigua and Barbuda,Annual GDP growth (percent change),1982,-0.1,-102.63157894736842,True
Antigua and Barbuda,Annual GDP growth (percent change),1983,5.4,-5500.0,True
Antigua and Barbuda,Annual GDP growth (percent change),1985,7.6,-25.49019607843137,True
Antigua and Barbuda,Annual GDP growth (percent change),1987,6.6,-42.608695652173914,True
Antigua and Barbuda,Annual GDP growth (percent change),1988,5.2,-21.212121212121204,True
Antigua and Barbuda,Annual GDP growth (percent change),1990,3.0,-43.39622641509434,True
Antigua and Barbuda,Annual GDP growth (percent change),1991,2.2,-26.66666666666666,True
Antigua and Barbuda,Annual GDP growth (percent change),1992,1.2,-45.45454545454546,True
Antigua and Barbuda,Annual GDP growth (percent change),1995,-4.4,-165.67164179104478,True
Antigua and Barbuda,Annual GDP growth (percent change),1996,6.6,-250.0,True
Antigua and Barbuda,Annual GDP growth (percent change),1997,5.5,-16.666666666666664,True
Antigua and Barbuda,Annual GDP growth (percent change),1998,4.7,-14.54545454545454,True
Antigua and Barbuda,Annual GDP growth (percent change),1999,3.7,-21.276595744680847,True
Antigua and Barbuda,Annual GDP growth (percent change),2001,-4.5,-172.58064516129033,True
Antigua and Barbuda,Annual GDP growth (percent change),2002,1.0,-122.22222222222223,True
Antigua and Barbuda,Annual GDP growth (percent change),2004,5.8,-4.91803278688524,True
Antigua and Barbuda,Annual GDP growth (percent change),2007,9.3,-26.77165354330707,True
Antigua and Barbuda,Annual GDP growth (percent change),2008,0.0,-100.0,True
Antigua and Barbuda,Annual GDP growth (percent change),2009,-12.0,-inf,True
Antigua and Barbuda,Annual GDP growth (percent change),2010,-7.8,-35.0,True
Antigua and Barbuda,Annual GDP growth (percent change),2011,-2.0,-74.35897435897436,True
Antigua and Barbuda,Annual GDP growth (percent change),2012,3.4,-270.0,True
Antigua and Barbuda,Annual GDP growth (percent change),2013,-0.6,-117.64705882352942,True
Antigua and Barbuda,Annual GDP growth (percent change),2014,3.8,-733.3333333333333,True
Antigua and Barbuda,Annual GDP growth (percent change),2017,3.1,-43.63636363636364,True
Antigua and Barbuda,Annual GDP growth (percent change),2019,4.3,-36.76470588235294,True
Antigua and Barbuda,Annual GDP growth (percent change),2020,-17.5,-506.9767441860465,True
Antigua and Barbuda,Annual GDP growth (percent change),2021,6.6,-137.71428571428572,True
Antigua and Barbuda,Annual GDP growth (percent change),2023,5.6,-34.11764705882353,True
Antigua and Barbuda,Annual GDP growth (percent change),2024,5.4,-3.5714285714285587,True
Argentina,Annual GDP growth (percent change),1981,-5.7,-914.2857142857144,True
Argentina,Annual GDP growth (percent change),1982,-3.1,-45.614035087719294,True
Argentina,Annual GDP growth (percent change),1983,3.7,-219.3548387096774,True
Argentina,Annual GDP growth (percent change),1984,2.0,-45.94594594594595,True
Argentina,Annual GDP growth (percent change),1985,-7.0,-450.0,True
Argentina,Annual GDP growth (percent change),1986,7.1,-201.42857142857142,True
Argentina,Annual GDP growth (percent change),1987,2.5,-64.7887323943662,True
Argentina,Annual GDP growth (percent change),1988,-2.0,-180.0,True
Argentina,Annual GDP growth (percent change),1990,-1.3,-81.42857142857143,True
Argentina,Annual GDP growth (percent change),1991,10.5,-907.6923076923076,True
Argentina,Annual GDP growth (percent change),1992,10.3,-1.904761904761898,True
Argentina,Annual GDP growth (percent change),1993,6.3,-38.834951456310684,True
Argentina,Annual GDP growth (percent change),1994,5.8,-7.936507936507942,True
Argentina,Annual GDP growth (percent change),1995,-2.8,-148.27586206896552,True
Argentina,Annual GDP growth (percent change),1996,5.5,-296.42857142857144,True
Argentina,Annual GDP growth (percent change),1998,3.9,-51.85185185185185,True
Argentina,Annual GDP growth (percent change),1999,-3.4,-187.17948717948718,True
Argentina,Annual GDP growth (percent change),2000,-0.8,-76.47058823529412,True
Argentina,Annual GDP growth (percent change),2003,9.0,-182.56880733944953,True
Argentina,Annual GDP growth (percent change),2004,8.9,-1.1111111111111072,True
Argentina,Annual GDP growth (percent change),2006,8.0,-10.1123595505618,True
Argentina,Annual GDP growth (percent change),2008,4.1,-54.44444444444445,True
Argentina,Annual GDP growth (percent change),2009,-5.9,-243.90243902439028,True
Argentina,Annual GDP growth (percent change),2010,10.1,-271.18644067796606,True
Argentina,Annual GDP growth (percent change),2011,6.0,-40.5940594059406,True
Argentina,Annual GDP growth (percent change),2012,-1.0,-116.66666666666667,True
Argentina,Annual GDP growth (percent change),2013,2.4,-340.0,True
Argentina,Annual GDP growth (percent change),2014,-2.5,-204.16666666666669,True
Argentina,Annual GDP growth (percent change),2015,2.7,-208.0,True
Argentina,Annual GDP growth (percent change),2016,-2.1,-177.77777777777777,True
Argentina,Annual GDP growth (percent change),2017,2.8,-233.33333333333331,True
Argentina,Annual GDP growth (percent change),2018,-2.6,-192.8571428571429,True
Argentina,Annual GDP growth (percent change),2019,-2.0,-23.076923076923084,True
Argentina,Annual GDP growth (percent change),2021,10.7,-208.08080808080805,True
Argentina,Annual GDP growth (percent change),2022,5.0,-53.271028037383175,True
Argentina,Annual GDP growth (percent change),2023,-2.5,-150.0,True
Argentina,Annual GDP growth (percent change),2024,2.8,-212.0,True
Armenia,Annual GDP growth (percent change),1994,5.4,-138.29787234042556,True
